Date,Open,High,Low,Close,Adj Close,Volume
2020-07-30,45.939999,46.860001,44.639999,45.320000,45.320000,727902
2020-07-31,45.639999,47.400002,45.599998,46.220001,46.220001,783331
2020-08-03,46.759998,47.900002,46.540001,47.619999,47.619999,675175
2020-08-04,48.000000,48.299999,45.820000,48.020000,48.020000,865091
2020-08-05,48.000000,48.160000,46.480000,47.240002,47.240002,457996
2020-08-06,47.060001,48.259998,46.939999,47.900002,47.900002,446552
2020-08-07,48.320000,49.279999,47.740002,48.900002,48.900002,654459
2020-08-10,49.240002,49.279999,46.099998,46.299999,46.299999,855475
2020-08-11,49.560001,50.099998,45.720001,46.139999,46.139999,1726753
2020-08-12,46.000000,46.060001,43.119999,43.599998,43.599998,1755787
2020-08-13,43.599998,45.200001,43.599998,44.500000,44.500000,1084848
2020-08-14,44.480000,44.720001,42.000000,42.000000,42.000000,1660248
2020-08-17,41.200001,44.340000,40.599998,43.939999,43.939999,1005450
2020-08-18,43.959999,44.099998,42.299999,43.160000,43.160000,999223
2020-08-19,43.080002,44.540001,42.720001,43.740002,43.740002,737877
2020-08-20,43.020000,44.259998,42.560001,43.880001,43.880001,513988
2020-08-21,43.759998,44.959999,43.439999,44.419998,44.419998,690341
2020-08-24,44.880001,46.220001,44.880001,44.959999,44.959999,762648
2020-08-25,45.020000,45.259998,43.020000,43.200001,43.200001,1228378
2020-08-26,43.000000,44.340000,43.000000,44.340000,44.340000,692462
2020-08-27,44.480000,46.040001,43.680000,43.820000,43.820000,821976
2020-08-28,43.919998,44.299999,42.360001,42.820000,42.820000,870740
2020-08-31,42.500000,43.720001,42.480000,43.099998,43.099998,437505
2020-09-01,42.980000,44.480000,42.720001,43.959999,43.959999,876620
2020-09-02,44.439999,44.820000,42.599998,42.680000,42.680000,776040
2020-09-03,42.799999,43.240002,37.240002,38.240002,38.240002,2006926
2020-09-04,38.500000,38.660000,36.200001,36.660000,36.660000,1791394
2020-09-07,37.160000,39.099998,37.099998,39.000000,39.000000,1011505
2020-09-08,39.240002,39.259998,37.119999,38.060001,38.060001,852320
2020-09-09,37.700001,40.680000,37.660000,40.540001,40.540001,1152414
2020-09-10,40.400002,40.400002,38.060001,39.919998,39.919998,1129998
2020-09-11,39.759998,40.139999,38.360001,38.439999,38.439999,810693
2020-09-14,39.139999,40.299999,38.580002,39.700001,39.700001,826077
2020-09-15,39.980000,40.419998,39.139999,39.599998,39.599998,691124
2020-09-16,39.759998,40.160000,38.320000,38.480000,38.480000,700418
2020-09-17,38.020000,38.720001,37.099998,38.139999,38.139999,733853
2020-09-18,null,null,null,null,null,null
2020-09-21,38.060001,41.279999,38.060001,41.020000,41.020000,1293427
2020-09-22,41.380001,43.439999,41.220001,42.200001,42.200001,1565262
2020-09-23,43.200001,45.880001,42.259998,45.619999,45.619999,1444916
2020-09-24,44.700001,45.580002,43.340000,44.840000,44.840000,1609264
2020-09-25,45.000000,45.360001,43.939999,45.060001,45.060001,884176
2020-09-28,45.139999,46.200001,44.480000,46.000000,46.000000,827708
2020-09-29,46.020000,48.700001,45.540001,48.200001,48.200001,1351150
2020-09-30,47.919998,48.240002,45.680000,47.580002,47.580002,1358243
